SHOW_ID,TYPE,TITLE,DIRECTOR,CAST,COUNTRY,DATE_ADDED,RELEASE_YEAR,RATING,DURATION,LISTED_IN,DESCRIPTION,DATE_ADDED_FORMATTED,MONTH_YEAR
s1,movie,dick johnson is dead,kirsten johnson,"ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka-ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng",UNITED STATES,2021-09-25,2020,pg-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",25-09-2021,2021-09
s2,tv show,blood & water,julien leclercq,"ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka-ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng",SOUTH AFRICA,2021-09-24,2021,tv-ma,2 seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",24-09-2021,2021-09
s3,tv show,ganglands,julien leclercq,"sami bouajila, tracy gotoas, samuel jouy, nabiha akkari, sofia lesaffre, salim kechiouche, noureddine farihi, geert van rampelberg, bakary diombera",INDIA,2021-09-24,2021,tv-ma,1 season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",24-09-2021,2021-09
s4,tv show,jailbirds new orleans,mike flanagan,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",INDIA,2021-09-24,2021,tv-ma,1 season,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",24-09-2021,2021-09
s5,tv show,kota factory,mike flanagan,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",INDIA,2021-09-24,2021,tv-ma,2 seasons,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",24-09-2021,2021-09
s6,tv show,midnight mass,mike flanagan,"kate siegel, zach gilford, hamish linklater, henry thomas, kristin lehman, samantha sloyan, igby rigney, rahul kohli, annarah cymone, annabeth gish, alex essoe, rahul abburi, matt biedel, michael trucco, crystal balint, louis oliver","UNITED STATES, GHANA, BURKINA FASO, UNITED KINGDOM, GERMANY, ETHIOPIA",2021-09-24,2021,tv-ma,1 season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",24-09-2021,2021-09
s7,movie,my little pony: a new generation,"robert cullen, josé luis ucha","vanessa hudgens, kimiko glenn, james marsden, sofia carson, liza koshy, ken jeong, elizabeth perkins, jane krakowski, michael mckean, phil lamarr","UNITED STATES, GHANA, BURKINA FASO, UNITED KINGDOM, GERMANY, ETHIOPIA",2021-09-24,2021,pg,91 min,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",24-09-2021,2021-09
s8,movie,sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","UNITED STATES, GHANA, BURKINA FASO, UNITED KINGDOM, GERMANY, ETHIOPIA",2021-09-24,1993,tv-ma,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",24-09-2021,2021-09
s9,tv show,the great british baking show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",UNITED KINGDOM,2021-09-24,2021,tv-14,9 seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",24-09-2021,2021-09
s10,movie,the starling,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",UNITED STATES,2021-09-24,2021,pg-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,24-09-2021,2021-09
